obsHistID,expMJD,filter,bandmag
165827,49561.251252,r,nan
165828,49561.251681,r,nan
165829,49561.252109,r,nan
165830,49561.252526,r,nan
165831,49561.252942,r,nan
165832,49561.253371,r,nan
165833,49561.253787,r,nan
165834,49561.254204,r,nan
165835,49561.254621,r,nan
165836,49561.255049,r,nan
165837,49561.255477,r,nan
165838,49561.255905,r,nan
165839,49561.256322,r,nan
165840,49561.25675,r,nan
165841,49561.257178,r,nan
165842,49561.257595,r,nan
165843,49561.258023,r,nan
165844,49561.258452,r,nan
165845,49561.258868,r,nan
165846,49561.259296,r,nan
165847,49561.261079,g,nan
165848,49561.261507,g,nan
165849,49561.261924,g,nan
165850,49561.262352,g,nan
165851,49561.262769,g,nan
165852,49561.263185,g,nan
165853,49561.263614,g,nan
165854,49561.264042,g,nan
165855,49561.26447,g,nan
165856,49561.264898,g,nan
165857,49561.266681,i,nan
165858,49561.267097,i,nan
165859,49561.267526,i,nan
165860,49561.267954,i,nan
165861,49561.268382,i,nan
165862,49561.26881,i,nan
165863,49561.269239,i,nan
165864,49561.269655,i,nan
165865,49561.270084,i,nan
165866,49561.2705,i,nan
165867,49561.270917,i,nan
165868,49561.271334,i,nan
165869,49561.27175,i,nan
165870,49561.272167,i,nan
165871,49561.272584,i,nan
165872,49561.273012,i,nan
165873,49561.27344,i,nan
165874,49561.273868,i,nan
165875,49561.274296,i,nan
165876,49561.274725,i,nan
165877,49561.276507,z,52.85309531234291
165878,49561.276924,z,52.85309531234291
165879,49561.27734,z,52.85309531234291
165880,49561.277769,z,52.85309531234291
165881,49561.278197,z,52.85309531234291
165882,49561.278614,z,52.85309531234291
165883,49561.27903,z,52.85309531234291
165884,49561.279447,z,52.85309531234291
165885,49561.279864,z,52.85309531234291
165886,49561.28028,z,52.85309531234291
165887,49561.280697,z,52.85309531234291
165888,49561.281114,z,52.85309531234291
165889,49561.28153,z,52.85309531234291
165890,49561.281947,z,52.85309531234291
165891,49561.282375,z,52.85309531234291
165892,49561.282803,z,52.85309531234291
165893,49561.28322,z,52.85309531234291
165894,49561.283637,z,52.85309531234291
165895,49561.284053,z,52.85309531234291
165896,49561.284482,z,52.85309531234291
165897,49561.28491,z,52.85309531234291
165898,49561.285338,z,52.85309531234291
165899,49561.285755,z,52.85309531234291
165900,49561.286183,z,52.85309531234291
165901,49561.2866,z,52.85309531234291
165902,49561.287028,z,52.85309531234291
165903,49561.28881,y,52.682564718536746
165904,49561.289239,y,52.682564718536746
165905,49561.289667,y,52.682564718536746
165906,49561.290095,y,52.682564718536746
165907,49561.290523,y,52.682564718536746
165908,49561.29094,y,52.682564718536746
165909,49561.291357,y,52.682564718536746
165910,49561.291785,y,52.682564718536746
165911,49561.292202,y,52.682564718536746
165912,49561.292618,y,52.682564718536746
165913,49561.293035,y,52.682564718536746
165914,49561.293463,y,52.682564718536746
165915,49561.293891,y,52.682564718536746
165916,49561.294308,y,52.682564718536746
165917,49561.294736,y,52.682564718536746
165918,49561.295153,y,52.682564718536746
165919,49561.295581,y,52.682564718536746
165920,49561.295998,y,52.682564718536746
165921,49561.296415,y,52.682564718536746
165922,49561.296843,y,52.682564718536746
168684,49564.160876,r,nan
168685,49564.161305,r,nan
168686,49564.161733,r,nan
168687,49564.162161,r,nan
168688,49564.162589,r,nan
168689,49564.163018,r,nan
168690,49564.163434,r,nan
168691,49564.163851,r,nan
168692,49564.164279,r,nan
168693,49564.164696,r,nan
168694,49564.165124,r,nan
168695,49564.165552,r,nan
168696,49564.165981,r,nan
168697,49564.166409,r,nan
168698,49564.166837,r,nan
168699,49564.167254,r,nan
168700,49564.167682,r,nan
168701,49564.16811,r,nan
168702,49564.168539,r,nan
168703,49564.168955,r,nan
168704,49564.170738,g,nan
168705,49564.171154,g,nan
168706,49564.171583,g,nan
168707,49564.171999,g,nan
168708,49564.172427,g,nan
168709,49564.172856,g,nan
168710,49564.173284,g,nan
168711,49564.173701,g,nan
168712,49564.174117,g,nan
168713,49564.174545,g,nan
168714,49564.176328,i,nan
168715,49564.176745,i,nan
168716,49564.177161,i,nan
168717,49564.177589,i,nan
168718,49564.178006,i,nan
168719,49564.178434,i,nan
168720,49564.178863,i,nan
168721,49564.179291,i,nan
168722,49564.179708,i,nan
168723,49564.180136,i,nan
168724,49564.180552,i,nan
168725,49564.180969,i,nan
168726,49564.181386,i,nan
168727,49564.181814,i,nan
168728,49564.182231,i,nan
168729,49564.182647,i,nan
168730,49564.183076,i,nan
168731,49564.183504,i,nan
168732,49564.183932,i,nan
168733,49564.18436,i,nan
168734,49564.186143,z,34.157310367534926
168735,49564.186571,z,34.15625888451668
168736,49564.186999,z,34.155207943456276
168737,49564.187427,z,34.15415754376545
168738,49564.187844,z,34.15313466043753
168739,49564.188272,z,34.15208532784888
168740,49564.188701,z,34.15103408506578
168741,49564.189129,z,34.14998583240321
168742,49564.189557,z,34.14893811819745
168743,49564.189974,z,34.1479178485384
168744,49564.190402,z,34.14687119569857
168745,49564.19083,z,34.14582507958639
168746,49564.191258,z,34.144779499622416
168747,49564.191675,z,34.143761307136515
168748,49564.192103,z,34.142716783992014
168749,49564.192532,z,34.14167035667665
168750,49564.19296,z,34.1406269030644
168751,49564.193388,z,34.139583982731224
168752,49564.193816,z,34.13854159510349
168753,49564.194245,z,34.13749730598854
168754,49564.194661,z,34.136485172013764
168755,49564.195089,z,34.135444365430345
168756,49564.195518,z,34.134401659350154
168757,49564.195946,z,34.13336191430546
168758,49564.196374,z,34.132322698557786
168759,49564.196802,z,34.13128401154014
168760,49564.198585,y,33.913622695526314
168761,49564.199013,y,33.91263416135535
168762,49564.199441,y,33.91164609791367
168763,49564.19987,y,33.91065619782387
168764,49564.200298,y,33.90966907552314
168765,49564.200714,y,33.90871007935638
168766,49564.201143,y,33.90772157848099
168767,49564.201571,y,33.90673585076791
168768,49564.201988,y,33.9057759072417
168769,49564.202404,y,33.904818707925976
168770,49564.202821,y,33.90385965049036
168771,49564.203249,y,33.90287575477492
168772,49564.203677,y,33.90189232520576
168773,49564.204094,y,33.90093461857926
168774,49564.204511,y,33.89997735358617
168775,49564.204927,y,33.89902282383454
168776,49564.205356,y,33.898038924466945
168777,49564.205772,y,33.89708528532151
168778,49564.206201,y,33.8961023035177
168779,49564.206629,y,33.89512207658197
171964,49570.360355,u,nan
171965,49570.360772,u,nan
171966,49570.361189,u,nan
171967,49570.361605,u,nan
171968,49570.362022,u,nan
171969,49570.362439,u,nan
171970,49570.362855,u,nan
171971,49570.363272,u,nan
171972,49570.363689,u,nan
171973,49570.364105,u,nan
171974,49570.364522,u,nan
171975,49570.364939,u,nan
171976,49570.365355,u,nan
171977,49570.365772,u,nan
171978,49570.366189,u,nan
171979,49570.366605,u,nan
171980,49570.367022,u,nan
171981,49570.367439,u,nan
171982,49570.367855,u,nan
171983,49570.368272,u,nan
172576,49571.175913,u,nan
172577,49571.17633,u,nan
172578,49571.176758,u,nan
172579,49571.177186,u,nan
172580,49571.177615,u,nan
172581,49571.178043,u,nan
172582,49571.178471,u,nan
172583,49571.178899,u,nan
172584,49571.179328,u,nan
172585,49571.179756,u,nan
172586,49571.180184,u,nan
172587,49571.180601,u,nan
172588,49571.181017,u,nan
172589,49571.181446,u,nan
172590,49571.181874,u,nan
172591,49571.182302,u,nan
172592,49571.182719,u,nan
172593,49571.183136,u,nan
172594,49571.183564,u,nan
172595,49571.183992,u,nan
173572,49572.157794,u,nan
173573,49572.158222,u,nan
173574,49572.158651,u,nan
173575,49572.159079,u,nan
173576,49572.159496,u,nan
173577,49572.159924,u,nan
173578,49572.16034,u,nan
173579,49572.160757,u,nan
173580,49572.161174,u,nan
173581,49572.161602,u,nan
173582,49572.16203,u,nan
173583,49572.162447,u,nan
173584,49572.162864,u,nan
173585,49572.163292,u,nan
173586,49572.163709,u,nan
173587,49572.164125,u,nan
173588,49572.164553,u,nan
173589,49572.164982,u,nan
173590,49572.16541,u,nan
173591,49572.165838,u,nan
174588,49573.161246,u,34.70097630468036
174589,49573.161675,u,34.70012251021459
174590,49573.162103,u,34.699271055017945
174591,49573.162531,u,34.698419948189006
174592,49573.162959,u,34.69756918943187
174593,49573.163388,u,34.696716791915804
174594,49573.163804,u,34.69589055802261
174595,49573.164232,u,34.69504083279002
174596,49573.164661,u,34.69418947033355
174597,49573.165089,u,34.693340439415714
174598,49573.165506,u,34.69251356247076
174599,49573.165922,u,34.691688995717904
174600,49573.166351,u,34.69083900335251
174601,49573.166779,u,34.689991338173684
174602,49573.167207,u,34.68914401815071
174603,49573.167635,u,34.68829704299188
174604,49573.168064,u,34.68744843469961
174605,49573.168492,u,34.686602149199565
174606,49573.16892,u,34.68575620769019
174607,49573.169348,u,34.68491060986694
175594,49574.158565,u,33.30434839102666
175595,49574.158993,u,33.303920448251006
175596,49574.159421,u,33.3034926212664
175597,49574.15985,u,33.30306391081215
175598,49574.160278,u,33.30263631546132
175599,49574.160706,u,33.302208835697606
175600,49574.161134,u,33.301781471443526
175601,49574.161563,u,33.301353224518834
175602,49574.161991,u,33.300926091343136
175603,49574.162407,u,33.30051104435691
175604,49574.162836,u,33.300083141170866
175605,49574.163252,u,33.299668315247104
175606,49574.163681,u,33.299240639887785
175607,49574.164109,u,33.29881407659892
175608,49574.164537,u,33.2983876282638
175609,49574.164965,u,33.29796129480553
175610,49574.165394,u,33.2975340804652
175611,49574.16581,u,33.297119922113595
175612,49574.166238,u,33.29669392995144
175613,49574.166655,u,33.296278996410635
176597,49575.153284,u,32.52620700172384
176598,49575.153701,u,32.52594492086984
176599,49575.154129,u,32.525675966916204
176600,49575.154557,u,32.52540705377542
176601,49575.154986,u,32.52513755327478
176602,49575.155414,u,32.524868721813476
176603,49575.155831,u,32.52460683878746
176604,49575.156259,u,32.524338087803166
176605,49575.156687,u,32.52406937756756
176606,49575.157115,u,32.523800708062275
176607,49575.157544,u,32.52353145168364
176608,49575.15796,u,32.52327039364526
176609,49575.158389,u,32.52300121780053
176610,49575.158817,u,32.52273271012407
176611,49575.159245,u,32.52246424311399
176612,49575.159662,u,32.5222027150539
176613,49575.16009,u,32.52193432828208
176614,49575.160507,u,32.521672878367404
176615,49575.160935,u,32.521404571780316
176616,49575.161363,u,32.52113630578712
177613,49576.163184,u,31.982558055408408
177614,49576.163612,u,31.982361261207576
177615,49576.16404,u,31.982164495303238
177616,49576.164469,u,31.98196729805882
177617,49576.164897,u,31.981770588796813
177618,49576.165325,u,31.981573907807885
177619,49576.165753,u,31.981377255083107
177620,49576.166182,u,31.981180171243548
177621,49576.16661,u,31.980983575086373
177622,49576.167038,u,31.98078700716664
177623,49576.167466,u,31.98059046747545
177624,49576.167883,u,31.980399006177535
177625,49576.168311,u,31.980202522191853
177626,49576.16874,u,31.98000560743232
177627,49576.169168,u,31.979809179907885
177628,49576.169596,u,31.97961278056781
177629,49576.170013,u,31.979421455971373
177630,49576.170441,u,31.97922511224963
177631,49576.170869,u,31.979028796685892
177632,49576.171286,u,31.97883755369066
182592,49581.185047,r,26.66213441817716
182593,49581.185475,r,26.662062349212718
182594,49581.185903,r,26.661990283257126
182595,49581.186332,r,26.66191805194221
182596,49581.186748,r,26.661848012340915
182597,49581.187177,r,26.661775786978875
182598,49581.187605,r,26.661703732985632
182599,49581.188021,r,26.66163370207943
182600,49581.188438,r,26.661563505682043
182601,49581.188855,r,26.661493312137768
182602,49581.189271,r,26.661423289767207
182603,49581.1897,r,26.66135108217272
182604,49581.190128,r,26.66127904590396
182605,49581.190545,r,26.66120886392617
182606,49581.190973,r,26.66113683359148
182607,49581.19139,r,26.661066657393498
182608,49581.191806,r,26.66099665232606
182609,49581.192234,r,26.6609246308448
182610,49581.192663,r,26.66085244410395
182611,49581.193091,r,26.660780428638255
182612,49581.194873,g,29.288032168243994
182613,49581.195302,g,29.28797336140178
182614,49581.195718,g,29.287916340667245
182615,49581.196135,g,29.28785918689836
182616,49581.196563,g,29.28780052967489
182617,49581.196991,g,29.28774187670488
182618,49581.19742,g,29.287683090963053
182619,49581.197848,g,29.28762444650737
182620,49581.198265,g,29.287567313359894
182621,49581.198693,g,29.28750867729926
182622,49581.200475,i,25.47676230604717
182623,49581.200903,i,25.476699611137636
182624,49581.201332,i,25.476636772691723
182625,49581.20176,i,25.476574083661294
182626,49581.202188,i,25.47651139756813
182627,49581.202616,i,25.476448714410882
182628,49581.203033,i,25.47638764509331
182629,49581.20345,i,25.476326578561043
182630,49581.203866,i,25.47626566124743
182631,49581.204295,i,25.47620284317199
182632,49581.204723,i,25.476140174463534
182633,49581.205151,i,25.476077508689215
182634,49581.205568,i,25.476016456306105
182635,49581.205984,i,25.47595555310526
182636,49581.206401,i,25.475894506283513
182637,49581.206829,i,25.475831852009755
182638,49581.207246,i,25.4757708108305
182639,49581.207674,i,25.475708162346397
182640,49581.208102,i,25.475645516794366
182641,49581.208519,i,25.475584484110772
182642,49581.210302,z,25.246558942640192
182643,49581.210718,z,25.246503959351195
182644,49581.211146,z,25.24644739230315
182645,49581.211575,z,25.246390695426612
182646,49581.212003,z,25.24633413304256
182647,49581.21242,z,25.24627902660412
182648,49581.212848,z,25.246222468817923
182649,49581.213265,z,25.246167366859737
182650,49581.213693,z,25.246110813670583
182651,49581.214109,z,25.246055848315578
182652,49581.214526,z,25.24600075303942
182653,49581.214943,z,25.24594565997383
182654,49581.215359,z,25.245890701226465
182655,49581.215788,z,25.245834027321404
182656,49581.216204,z,25.245779073040776
182657,49581.216621,z,25.24572398886368
182658,49581.217049,z,25.245667453924025
182659,49581.217477,z,25.245610921310853
182660,49581.217906,z,25.245554258946513
182661,49581.218322,z,25.245499315854936
182662,49581.218751,z,25.245442658093467
182663,49581.219167,z,25.245387719464873
182664,49581.219584,z,25.245332650977982
182665,49581.220012,z,25.245276132140006
182666,49581.22044,z,25.24521961562705
182667,49581.220857,z,25.24516455387679
182668,49581.22264,y,25.35074645870797
182669,49581.223056,y,25.35069321871258
182670,49581.223484,y,25.350638445238218
182671,49581.223901,y,25.35058508172711
182672,49581.224318,y,25.350531720419113
182673,49581.224746,y,25.35047695379094
182674,49581.225163,y,25.350423596948538
182675,49581.225591,y,25.35036883490335
182676,49581.226019,y,25.350314075179167
182677,49581.226447,y,25.350259317775784
182678,49581.226864,y,25.35020596992121
182679,49581.227292,y,25.350151217098215
182680,49581.227709,y,25.350097873706815
182681,49581.228126,y,25.35004453251673
182682,49581.228542,y,25.349991321438274
182683,49581.228959,y,25.3499379846468
182684,49581.229387,y,25.34988324317961
182685,49581.229804,y,25.349829910849323
182686,49581.230221,y,25.349776580721226
182687,49581.230649,y,25.349721846091605
189557,49591.243567,r,25.55847234335029
189558,49591.243984,r,25.5584524536234
189559,49591.244401,r,25.558432565674906
189560,49591.244829,r,25.558412154953732
189561,49591.245246,r,25.558392270609012
189562,49591.245662,r,25.55837243571997
189563,49591.246079,r,25.558352554927136
189564,49591.246507,r,25.558332151549298
189565,49591.246935,r,25.55831175004468
189566,49591.247364,r,25.55829130275233
189567,49591.24778,r,25.558271476871894
189568,49591.248197,r,25.55825160510817
189569,49591.248614,r,25.558231735122263
189570,49591.24903,r,25.558211914556868
189571,49591.249447,r,25.558192048121033
189572,49591.249875,r,25.558171659478855
189573,49591.250292,r,25.558151796644562
189574,49591.250708,r,25.558131983213265
189575,49591.251137,r,25.55811155246456
189576,49591.251565,r,25.55809117121399
189577,49591.253347,g,28.450158474678933
189578,49591.253776,g,28.450129511508294
189579,49591.254204,g,28.450100614933426
189580,49591.254621,g,28.450072460146018
189581,49591.255037,g,28.45004437200952
189582,49591.255454,g,28.45001621548533
189583,49591.255871,g,28.4499880580911
189584,49591.256287,g,28.449959967354776
189585,49591.256704,g,28.449931808223795
189586,49591.257132,g,28.44990290538226
189587,49591.258915,i,24.51337266982831
189588,49591.259331,i,24.51335185859456
189589,49591.259748,i,24.51333099859849
189590,49591.260165,i,24.51331013986785
189591,49591.260581,i,24.51328933241934
189592,49591.261009,i,24.513267926070764
189593,49591.261438,i,24.51324647104525
189594,49591.261866,i,24.513225067366204
189595,49591.262283,i,24.513204215064054
189596,49591.262699,i,24.513183414027925
189597,49591.263116,i,24.513162564253097
189598,49591.263544,i,24.513141165800164
189599,49591.263972,i,24.513119768680056
189600,49591.264401,i,24.513098322904096
189601,49591.264829,i,24.51307692845255
189602,49591.265246,i,24.513056085139905
189603,49591.265662,i,24.513035293071994
189604,49591.266079,i,24.513014452286114
189605,49591.266496,i,24.512993612765403
189606,49591.266912,i,24.51297282447941
189607,49591.268695,z,24.33439037038472
189608,49591.269111,z,24.33436834918812
189609,49591.269528,z,24.334346276094575
189610,49591.269945,z,24.334324204040083
189611,49591.270361,z,24.334302185951856
189612,49591.270778,z,24.334280115973982
189613,49591.271195,z,24.334258047035007
189614,49591.271611,z,24.334236032055042
189615,49591.272028,z,24.334213965191974
189616,49591.272445,z,24.33419189936803
189617,49591.272861,z,24.33416988749546
189618,49591.273278,z,24.334147823747095
189619,49591.273695,z,24.33412576103769
189620,49591.274111,z,24.334103752272025
189621,49591.274528,z,24.334081691637877
189622,49591.274945,z,24.33405963204291
189623,49591.275361,z,24.334037626383285
189624,49591.275778,z,24.334015568862863
189625,49591.276195,z,24.33399351238146
189626,49591.276611,z,24.333971509827776
189627,49591.277028,z,24.33394945542098
189628,49591.277445,z,24.333927402052268
189629,49591.277861,z,24.33390540260404
189630,49591.278278,z,24.333883351309996
189631,49591.278695,z,24.33386130105388
189632,49591.279111,z,24.333839304710608
189633,49591.280894,y,24.477257148625476
189634,49591.28131,y,24.47723654624131
189635,49591.281727,y,24.477215895371707
189636,49591.282144,y,24.477195245543566
189637,49591.28256,y,24.477174646272356
189638,49591.282977,y,24.4771539985234
189639,49591.283394,y,24.47713335181575
189640,49591.28381,y,24.47711275565739
189641,49591.284227,y,24.47709211102897
189642,49591.284644,y,24.47707146744098
189643,49591.28506,y,24.47705087439501
189644,49591.285477,y,24.477030232886307
189645,49591.285894,y,24.477009592417875
189646,49591.28631,y,24.476989002483826
189647,49591.286727,y,24.476968364094365
189648,49591.287144,y,24.476947726745024
189649,49591.28756,y,24.47692713992279
189650,49591.287977,y,24.47690650465175
189651,49591.288394,y,24.476885870421036
189652,49591.28881,y,24.476865286709796
192045,49594.082426,r,25.463454078722293
192046,49594.082854,r,25.463445684502588
192047,49594.083283,r,25.46343727235275
192048,49594.083711,r,25.46342888149023
192049,49594.084139,r,25.463420492304284
192050,49594.084567,r,25.46341210479487
192051,49594.084996,r,25.46340369937085
192052,49594.085424,r,25.46339531521832
192053,49594.085852,r,25.463386932742218
192054,49594.08628,r,25.46337855194235
192055,49594.086709,r,25.46337015324353
192056,49594.087137,r,25.46336177580038
192057,49594.087565,r,25.46335340003349
192058,49594.087993,r,25.463345025942836
192059,49594.088422,r,25.463336633968613
192060,49594.088838,r,25.463328497904808
192061,49594.089255,r,25.46332034387245
192062,49594.089683,r,25.463311976400185
192063,49594.090111,r,25.463303610603955
192064,49594.09054,r,25.463295226943355
192065,49594.092322,g,28.320180040126345
192066,49594.09275,g,28.320177514243404
192067,49594.093179,g,28.32017498828838
192068,49594.093595,g,28.32017254445109
192069,49594.094023,g,28.320170035846047
192070,49594.09444,g,28.320167597301417
192071,49594.094868,g,28.320165100164978
192072,49594.095297,g,28.32016260302337
192073,49594.095725,g,28.320160117518242
192074,49594.096153,g,28.32015763782193
192075,49594.097935,i,24.399372225639016
192076,49594.098352,i,24.39935939491192
192077,49594.09878,i,24.399346226873142
192078,49594.099209,i,24.399333029235546
192079,49594.099637,i,24.39931986352655
192080,49594.100054,i,24.39930703730748
192081,49594.10047,i,24.399294242947388
